ID,Grade Level,Title (Raw Strings),Title (Clean),Salary (Minimum),Salary (Increment),Salary (Maximum),Reference,Effective Date (YYYY-MM-DD)
MMR_CIVSRVT_0025,2,ဒု-ပါမောက္ခချုပ်,ဒုတိယပါမောက္ခချုပ်," 418,000 "," 4,000 "," 438,000 ", Announcement (2/2022) အမိန့်ကြော်ငြာစာအမှတ် (၂/၂၀၂၂) ,2022-09-22
MMR_CIVSRVT_0026,2,ပါမောက္ခ,ပါမောက္ခ," 418,000 "," 4,000 "," 438,000 ", Announcement (2/2022) အမိန့်ကြော်ငြာစာအမှတ် (၂/၂၀၂၂) ,2022-09-22
MMR_CIVSRVT_0027,2,ကျောင်းအုပ်ကြီး,ကျောင်းအုပ်ကြီး," 418,000 "," 4,000 "," 438,000 ", Announcement (2/2022) အမိန့်ကြော်ငြာစာအမှတ် (၂/၂၀၂၂) ,2022-09-22
MMR_CIVSRVT_0028,2,ဒု-ကျောင်းအုပ်ကြီး,ဒုတိယကျောင်းအုပ်ကြီး," 418,000 "," 4,000 "," 438,000 ", Announcement (2/2022) အမိန့်ကြော်ငြာစာအမှတ် (၂/၂၀၂၂) ,2022-09-22
MMR_CIVSRVT_0029,2,အင်ဂျင်နီယာချုပ်,အင်ဂျင်နီယာချုပ်," 418,000 "," 4,000 "," 438,000 ", Announcement (2/2022) အမိန့်ကြော်ငြာစာအမှတ် (၂/၂၀၂၂) ,2022-09-22
MMR_CIVSRVT_0030,2,စစ်ဆေးရေးအရာရှိချုပ်,စစ်ဆေးရေးအရာရှိချုပ်," 418,000 "," 4,000 "," 438,000 ", Announcement (2/2022) အမိန့်ကြော်ငြာစာအမှတ် (၂/၂၀၂၂) ,2022-09-22
MMR_CIVSRVT_0031,2,စက်ရုံမှူး,စက်ရုံမှူး," 418,000 "," 4,000 "," 438,000 ", Announcement (2/2022) အမိန့်ကြော်ငြာစာအမှတ် (၂/၂၀၂၂) ,2022-09-22
MMR_CIVSRVT_0032,2,လေယာဉ်မှူး,လေယာဉ်မှူး," 418,000 "," 4,000 "," 438,000 ", Announcement (2/2022) အမိန့်ကြော်ငြာစာအမှတ် (၂/၂၀၂၂) ,2022-09-22
MMR_CIVSRVT_0033,2,ဌာနမှူး,ဌာနမှူး," 418,000 "," 4,000 "," 438,000 ", Announcement (2/2022) အမိန့်ကြော်ငြာစာအမှတ် (၂/၂၀၂၂) ,2022-09-22
MMR_CIVSRVT_0034,2,တွဲဖက်ဌာနမှူး ,တွဲဖက်ဌာနမှူး ," 418,000 "," 4,000 "," 438,000 ", Announcement (2/2022) အမိန့်ကြော်ငြာစာအမှတ် (၂/၂၀၂၂) ,2022-09-22
