sd_pcode,state_divi,d_pcode,district,ts_pcode,township,town_pcode,town,town_mmr4,longitude,latitude,level,air_bool,ctrl_tnla,ctrl_mndaa,ctrl_uwsa
MMR003,Kayin,MMR003D002,Myawaddy,MMR003005,Myawaddy,MMR003005701,Myawaddy,မြဝတီ,16.68867758,98.51303563,District Capital,0,0,0,0
MMR012,Rakhine,MMR012D005,Mrauk-U,MMR012006,Myebon,MMR012006701,Myebon,မြေပုံ,20.04676,93.37376,Main Town,0,0,0,0
MMR006,Tanintharyi,MMR006D002,Myeik,MMR006005,Myeik,MMR006005701,Myeik,မြိတ်,12.44112,98.60978,District Capital,0,0,0,0
MMR005,Sagaing,MMR005D001,Sagaing,MMR005002,Myinmu,MMR005002701,Myinmu,မြင်းမူ,21.92680562,95.57156697,Main Town,0,0,0,0
MMR009,Magway,MMR009D004,Pakokku,MMR009018,Pakokku,MMR009018703,Myit Chay,မြစ်ခြေ,21.2454,94.8511,Other Town,0,0,0,0
MMR001,Kachin,MMR001D001,Myitkyina,MMR001001,Myitkyina,MMR001001701,Myitkyina,မြစ်ကြီးနား,25.38749,97.39036,State/Region Capital,0,0,0,0
MMR006,Tanintharyi,MMR006D001,Dawei,MMR006001,Dawei,MMR006001702,Myitta,မေတ္တာ,14.16355,98.52017,Other Town,0,0,0,0
MMR001,Kachin,MMR001D003,Bhamo,MMR001011,Shwegu,MMR001011702,Myo Hla,မြို့လှ,24.47856339,96.65521559,Other Town,0,0,0,0
MMR007,Bago (East),MMR007D002,Taungoo,MMR007010,Yedashe,MMR007010704,Myo Hla,မြို့လှ,19.40442,96.26628,Other Town,0,0,0,0
MMR009,Magway,MMR009D001,Magway,MMR009005,Myothit,MMR009005701,Myothit,မြို့သစ်,20.19919,95.44692,Main Town,0,0,0,0
MMR005,Sagaing,MMR005D006,Tamu,MMR005030,Tamu,MMR005030702,Myothit,မြို့သစ်,24.51539,94.51857,Other Town,0,0,0,0
MMR001,Kachin,MMR001D002,Mohnyin,MMR001007,Mohnyin,MMR001007704,Nam Mun,နန့်မွန်း,25.0047,96.3548,Other Town,0,0,0,0
MMR001,Kachin,MMR001D002,Mohnyin,MMR001008,Mogaung,MMR001008702,Nammatee,နမ္မတီး,25.37835,97.00896,Other Town,0,0,0,0
MMR002,Kayah,MMR002D001,Loikaw,MMR002002,Demoso,MMR002002702,Nan Mei Khon,နန်းမယ်ခုံ,19.6696,97.1091,Other Town,0,0,0,0
MMR014,Shan (South),MMR014D002,Loilen,MMR014013,Nansang,MMR014013701,Nansang,နမ့်စန်,20.88912,97.72022,Main Town,0,0,0,0
MMR005,Sagaing,MMR005S001,Naga Self-Administered Zone,MMR005037,Nanyun,MMR005037701,Nanyun,နန်းယွန်း,26.97979,96.16705,Main Town,0,0,0,0
MMR009,Magway,MMR009D001,Magway,MMR009006,Natmauk,MMR009006701,Natmauk,နတ်မောက်,20.35339,95.39966,Main Town,0,0,0,0
MMR008,Bago (West),MMR008D002,Thayarwady,MMR008012,Nattalin,MMR008012701,Nattalin,နတ်တလင်း,18.42753,95.54731,Main Town,0,0,0,0
MMR014,Shan (South),MMR014S002,Pa-O Self-Administered Zone,MMR014009,Pinlaung,MMR014009702,Naungtayar,နောင်တရား,20.29326,96.75691,Other Town,0,0,0,0
MMR001,Kachin,MMR001D004,Puta-O,MMR001017,Nawngmun,MMR001017701,Nawngmun,နောင်မွန်း,27.50532,97.81785,Main Town,0,0,0,0
MMR018,Nay Pyi Taw,MMR018D001,Oke Ta Ra,MMR018001,Zay Yar Thi Ri,MMR018000777,Nay Pyi Taw,နေပြည်တော်,19.80326,96.18566,Union Capital,0,0,0,0
MMR012,Rakhine,MMR012D004,Thandwe,MMR012015,Thandwe,MMR012015702,Ngapali,ငပလီ,18.43755,94.3206,Other Town,0,0,0,0
MMR009,Magway,MMR009D002,Minbu,MMR009009,Ngape,MMR009009701,Ngape,ငဖဲ,20.07538,94.46767,Main Town,0,0,0,0
MMR017,Ayeyarwady,MMR017D001,Pathein,MMR017004,Ngapudaw,MMR017004701,Ngapudaw,ငပုတော,16.54310125,94.69224,Main Town,0,0,0,0
